Date,Price,Open,High,Low,Change %
21-Jul-20,"1,838.70","1,818.15","1,841.62","1,815.93",1.24%
20-Jul-20,"1,816.09","1,809.58","1,820.73","1,805.60",0.34%
17-Jul-20,"1,809.90","1,797.30","1,812.03","1,795.11",0.71%
16-Jul-20,"1,797.05","1,811.90","1,813.74","1,795.02",-0.82%
15-Jul-20,"1,811.90","1,807.80","1,814.79","1,802.72",0.23%
14-Jul-20,"1,807.79","1,803.19","1,811.03","1,791.46",0.24%
13-Jul-20,"1,803.39","1,799.01","1,813.45","1,798.01",0.25%
10-Jul-20,"1,798.90","1,802.13","1,810.76","1,794.28",-0.24%
09-Jul-20,"1,803.19","1,811.30","1,816.26","1,795.82",-0.42%
08-Jul-20,"1,810.78","1,795.27","1,818.13","1,791.62",0.86%
07-Jul-20,"1,795.26","1,783.91","1,797.59","1,773.79",0.64%
06-Jul-20,"1,783.90","1,776.31","1,787.09","1,770.13",0.50%
03-Jul-20,"1,775.05","1,774.77","1,777.43","1,772.48",-0.06%
02-Jul-20,"1,776.14","1,769.60","1,779.83","1,757.68",0.33%
01-Jul-20,"1,770.31","1,781.60","1,789.48","1,759.27",-0.64%
30-Jun-20,"1,781.67","1,771.90","1,786.02","1,765.35",0.53%
29-Jun-20,"1,772.28","1,773.74","1,775.72","1,765.78",0.05%
26-Jun-20,"1,771.47","1,761.82","1,772.12","1,747.67",0.55%
25-Jun-20,"1,761.81","1,760.32","1,769.04","1,755.49",-0.04%
24-Jun-20,"1,762.43","1,768.99","1,779.61","1,760.80",-0.29%
23-Jun-20,"1,767.54","1,755.26","1,771.25","1,747.43",0.69%
22-Jun-20,"1,755.44","1,748.78","1,763.42","1,743.27",0.68%
19-Jun-20,"1,743.61","1,723.69","1,745.36","1,721.18",1.20%
18-Jun-20,"1,722.99","1,726.30","1,737.17","1,717.57",-0.23%
17-Jun-20,"1,727.04","1,727.71","1,730.41","1,713.22",-0.02%
16-Jun-20,"1,727.46","1,725.55","1,733.12","1,716.43",0.11%
15-Jun-20,"1,725.53","1,732.32","1,734.53","1,704.31",-0.30%
12-Jun-20,"1,730.80","1,728.34","1,743.16","1,722.57",0.19%
11-Jun-20,"1,727.51","1,737.01","1,744.92","1,721.58",-0.55%
10-Jun-20,"1,737.10","1,714.80","1,740.06","1,708.47",1.31%
09-Jun-20,"1,714.57","1,700.49","1,721.04","1,692.20",0.98%
08-Jun-20,"1,697.96","1,684.65","1,700.90","1,677.52",0.72%
05-Jun-20,"1,685.83","1,711.81","1,717.25","1,670.74",-1.52%
04-Jun-20,"1,711.83","1,699.89","1,721.62","1,696.90",0.78%
03-Jun-20,"1,698.64","1,728.10","1,733.80","1,689.54",-1.70%
02-Jun-20,"1,727.96","1,740.34","1,745.26","1,721.40",-0.71%
01-Jun-20,"1,740.33","1,738.05","1,744.84","1,727.26",0.70%
29-May-20,"1,728.30","1,721.70","1,737.71","1,712.53",0.52%
28-May-20,"1,719.40","1,709.04","1,727.52","1,707.11",0.59%
27-May-20,"1,709.26","1,712.47","1,716.37","1,693.82",-0.19%
26-May-20,"1,712.45","1,728.82","1,736.07","1,708.30",-0.99%
25-May-20,"1,729.57","1,734.61","1,736.01","1,721.45",-0.37%
22-May-20,"1,736.07","1,725.26","1,740.07","1,723.62",0.56%
21-May-20,"1,726.33","1,749.52","1,751.01","1,717.10",-1.32%
20-May-20,"1,749.50","1,745.92","1,754.77","1,741.89",0.25%
19-May-20,"1,745.11","1,732.31","1,748.76","1,725.66",0.74%
18-May-20,"1,732.32","1,743.01","1,765.94","1,727.20",-0.61%
15-May-20,"1,743.00","1,730.52","1,752.13","1,727.93",0.71%
14-May-20,"1,730.65","1,715.63","1,737.41","1,710.51",0.85%
13-May-20,"1,715.99","1,702.50","1,719.02","1,698.81",0.78%
12-May-20,"1,702.72","1,697.04","1,711.79","1,693.17",0.32%
11-May-20,"1,697.35","1,702.65","1,712.64","1,691.59",-0.31%
08-May-20,"1,702.65","1,717.46","1,723.91","1,701.06",-0.89%
07-May-20,"1,717.94","1,686.08","1,723.06","1,683.50",1.90%
06-May-20,"1,685.89","1,707.51","1,709.34","1,682.28",-1.25%
05-May-20,"1,707.17","1,700.82","1,712.90","1,691.45",0.32%
04-May-20,"1,701.69","1,699.00","1,712.57","1,691.84",0.08%
01-May-20,"1,700.41","1,685.95","1,706.53","1,670.06",0.91%
30-Apr-20,"1,685.05","1,712.27","1,723.17","1,680.64",-1.60%
29-Apr-20,"1,712.39","1,708.30","1,717.76","1,697.55",0.22%
28-Apr-20,"1,708.64","1,715.31","1,716.04","1,691.63",-0.40%
27-Apr-20,"1,715.57","1,726.15","1,727.93","1,705.68",-0.80%
24-Apr-20,"1,729.43","1,731.57","1,737.44","1,710.21",-0.12%
23-Apr-20,"1,731.58","1,713.56","1,739.74","1,706.26",0.98%
22-Apr-20,"1,714.82","1,687.10","1,719.65","1,680.09",1.65%
21-Apr-20,"1,687.02","1,694.11","1,698.60","1,661.39",-0.42%
20-Apr-20,"1,694.11","1,692.25","1,703.46","1,671.49",0.56%
17-Apr-20,"1,684.69","1,715.99","1,719.12","1,679.37",-1.96%
16-Apr-20,"1,718.40","1,716.46","1,739.17","1,707.88",0.11%
15-Apr-20,"1,716.60","1,728.80","1,732.27","1,707.71",-0.76%
14-Apr-20,"1,729.70","1,712.34","1,747.85","1,708.55",0.90%
13-Apr-20,"1,714.32","1,685.69","1,723.88","1,674.87",1.45%
10-Apr-20,"1,689.90","1,676.00","1,697.50","1,676.00",0.35%
09-Apr-20,"1,684.07","1,646.08","1,691.17","1,643.10",2.28%
08-Apr-20,"1,646.52","1,647.59","1,657.69","1,641.94",-0.15%
07-Apr-20,"1,648.95","1,663.03","1,673.55","1,641.89",-0.85%
06-Apr-20,"1,663.00","1,597.50","1,669.97","1,597.50",2.75%
03-Apr-20,"1,618.45","1,615.09","1,626.07","1,606.30",0.29%
02-Apr-20,"1,613.79","1,590.52","1,621.15","1,579.04",1.18%
01-Apr-20,"1,595.05","1,571.00","1,603.41","1,566.97",1.51%
31-Mar-20,"1,571.31","1,618.49","1,626.27","1,566.23",-3.20%
30-Mar-20,"1,623.30","1,622.00","1,639.61","1,608.72",-0.01%
27-Mar-20,"1,623.50","1,632.38","1,637.86","1,612.22",-0.54%
