Date,Price,Open,High,Low,Vol.,Change %
21-Jul-20,"3,274.39","3,271.90","3,277.60","3,267.48",-,0.69%
20-Jul-20,"3,251.84","3,224.29","3,258.61","3,215.16",-,0.84%
17-Jul-20,"3,224.73","3,224.21","3,233.52","3,205.65",-,0.28%
16-Jul-20,"3,215.57","3,208.36","3,220.39","3,198.59",-,-0.34%
15-Jul-20,"3,226.56","3,225.98","3,238.28","3,200.76",-,0.91%
14-Jul-20,"3,197.52","3,141.11","3,200.95","3,127.66",-,1.34%
13-Jul-20,"3,155.22","3,205.08","3,235.32","3,149.43",-,-0.94%
10-Jul-20,"3,185.04","3,152.47","3,186.82","3,136.22",-,1.05%
09-Jul-20,"3,152.05","3,176.17","3,179.78","3,115.70",-,-0.56%
08-Jul-20,"3,169.94","3,153.07","3,171.80","3,136.53",-,0.78%
07-Jul-20,"3,145.32","3,166.44","3,184.15","3,142.93",-,-1.08%
06-Jul-20,"3,179.72","3,155.29","3,182.59","3,155.29",-,1.59%
02-Jul-20,"3,130.01","3,143.64","3,165.81","3,124.52",-,0.45%
01-Jul-20,"3,115.86","3,105.92","3,128.44","3,101.17",-,0.50%
30-Jun-20,"3,100.29","3,050.20","3,111.51","3,047.83",-,1.54%
29-Jun-20,"3,053.24","3,018.59","3,053.89","2,999.74",-,1.47%
26-Jun-20,"3,009.05","3,073.20","3,073.73","3,004.63",-,-2.42%
25-Jun-20,"3,083.76","3,046.60","3,086.25","3,024.01",-,1.10%
24-Jun-20,"3,050.33","3,114.40","3,115.01","3,032.13",-,-2.59%
23-Jun-20,"3,131.29","3,138.70","3,154.90","3,127.12",-,0.43%
22-Jun-20,"3,117.86","3,094.42","3,120.92","3,079.39",-,0.65%
19-Jun-20,"3,097.74","3,140.29","3,155.53","3,083.11",-,-0.56%
18-Jun-20,"3,115.34","3,101.64","3,120.00","3,093.51",-,0.06%
17-Jun-20,"3,113.49","3,136.13","3,141.16","3,108.03",-,-0.36%
16-Jun-20,"3,124.74","3,131.00","3,153.45","3,076.06",-,1.90%
15-Jun-20,"3,066.59","2,993.76","3,079.76","2,965.66",-,0.83%
12-Jun-20,"3,041.31","3,071.04","3,088.42","2,984.47",-,1.31%
11-Jun-20,"3,002.10","3,123.53","3,123.53","2,999.49",-,-5.89%
10-Jun-20,"3,190.14","3,213.42","3,223.27","3,181.49",-,-0.53%
09-Jun-20,"3,207.18","3,213.32","3,222.71","3,193.11",-,-0.78%
08-Jun-20,"3,232.39","3,199.92","3,233.13","3,196.00",-,1.20%
05-Jun-20,"3,193.93","3,163.84","3,211.72","3,163.84",-,2.62%
04-Jun-20,"3,112.35","3,111.56","3,128.91","3,090.41",-,-0.34%
03-Jun-20,"3,122.87","3,098.90","3,130.94","3,098.90",-,1.36%
02-Jun-20,"3,080.82","3,064.78","3,081.07","3,051.64",-,0.82%
01-Jun-20,"3,055.73","3,038.78","3,062.18","3,031.54",-,0.38%
29-May-20,"3,044.31","3,025.17","3,049.17","2,998.61",-,0.48%
28-May-20,"3,029.73","3,046.61","3,068.67","3,023.40",-,-0.21%
27-May-20,"3,036.13","3,015.65","3,036.25","2,969.75",-,1.48%
26-May-20,"2,991.77","3,004.08","3,021.72","2,988.17",-,1.23%
22-May-20,"2,955.45","2,948.05","2,956.76","2,933.59",-,0.24%
21-May-20,"2,948.51","2,969.95","2,978.50","2,938.57",-,-0.78%
20-May-20,"2,971.61","2,953.63","2,980.29","2,953.63",-,1.67%
19-May-20,"2,922.94","2,948.59","2,964.21","2,922.35",-,-1.05%
18-May-20,"2,953.91","2,913.86","2,968.09","2,913.86",-,3.15%
15-May-20,"2,863.70","2,829.95","2,865.01","2,816.78",-,0.39%
14-May-20,"2,852.50","2,794.54","2,852.80","2,766.64",-,1.15%
13-May-20,"2,820.00","2,865.86","2,874.14","2,793.15",-,-1.75%
12-May-20,"2,870.12","2,939.50","2,945.82","2,869.59",-,-2.05%
11-May-20,"2,930.32","2,915.46","2,944.25","2,903.44",-,0.02%
08-May-20,"2,929.80","2,908.83","2,932.16","2,902.88",-,1.69%
07-May-20,"2,881.19","2,878.26","2,901.92","2,876.48",-,1.15%
06-May-20,"2,848.42","2,883.14","2,891.11","2,847.65",-,-0.70%
05-May-20,"2,868.44","2,868.88","2,898.23","2,863.55",-,0.90%
04-May-20,"2,842.74","2,815.01","2,844.24","2,797.85",-,0.42%
01-May-20,"2,830.71","2,869.09","2,869.09","2,821.61",-,-2.81%
30-Apr-20,"2,912.43","2,930.91","2,930.91","2,892.47",-,-0.92%
29-Apr-20,"2,939.51","2,918.46","2,954.86","2,912.16",-,2.66%
28-Apr-20,"2,863.39","2,909.96","2,921.15","2,860.71",-,-0.52%
27-Apr-20,"2,878.48","2,854.65","2,887.72","2,852.89",-,1.47%
24-Apr-20,"2,836.74","2,812.64","2,842.71","2,791.76",-,1.39%
23-Apr-20,"2,797.80","2,810.42","2,844.90","2,794.26",-,-0.05%
22-Apr-20,"2,799.31","2,787.89","2,815.10","2,775.95",-,2.29%
21-Apr-20,"2,736.56","2,784.81","2,785.54","2,727.10",-,-3.07%
20-Apr-20,"2,823.16","2,845.62","2,868.98","2,820.43",-,-1.79%
17-Apr-20,"2,874.56","2,842.43","2,879.22","2,830.88",-,2.68%
16-Apr-20,"2,799.55","2,799.34","2,806.51","2,764.32",-,0.58%
15-Apr-20,"2,783.36","2,795.64","2,801.88","2,761.54",-,-2.20%
14-Apr-20,"2,846.06","2,805.10","2,851.85","2,805.10",-,3.06%
13-Apr-20,"2,761.63","2,782.46","2,782.46","2,721.17",-,-1.01%
09-Apr-20,"2,789.82","2,776.99","2,818.57","2,762.36",-,1.45%
08-Apr-20,"2,749.98","2,685.00","2,760.75","2,663.30",-,3.41%
07-Apr-20,"2,659.41","2,738.65","2,756.89","2,657.67",-,-0.16%
06-Apr-20,"2,663.68","2,578.28","2,676.85","2,574.57",-,7.03%
03-Apr-20,"2,488.65","2,514.92","2,538.18","2,459.96",-,-1.51%
02-Apr-20,"2,526.90","2,458.54","2,533.22","2,455.79",-,2.28%
01-Apr-20,"2,470.50","2,498.08","2,522.75","2,447.49",-,-4.41%
31-Mar-20,"2,584.59","2,614.69","2,641.39","2,571.15",-,-1.60%
30-Mar-20,"2,626.65","2,558.98","2,631.80","2,545.28",-,3.35%
27-Mar-20,"2,541.47","2,555.87","2,615.91","2,520.02",-,-3.37%
26-Mar-20,"2,630.07","2,501.29","2,637.01","2,500.72",-,6.24%
25-Mar-20,"2,475.56","2,457.77","2,571.42","2,407.53",-,1.15%
24-Mar-20,"2,447.33","2,344.44","2,449.71","2,344.44",-,9.38%
23-Mar-20,"2,237.40","2,290.71","2,300.73","2,191.86",-,-2.93%
20-Mar-20,"2,304.92","2,431.94","2,453.01","2,295.56",-,-4.34%
19-Mar-20,"2,409.39","2,393.48","2,466.97","2,319.78",-,0.47%
